staff_id,store_code,display_name,role,active_from,active_to
1001,CR1,B. Kim,salesperson,2024-04-05,
1002,CR1,P. Okafor,salesperson,2025-01-16,
1003,CR1,N. Hale,salesperson,2024-06-28,
1004,CR1,M. Fox,salesperson,2023-07-25,
1005,CR1,L. Hart,salesperson,2025-08-30,
1006,CR1,B. Reed,salesperson,2023-05-19,2025-10-06
1007,CR1,T. Fox,salesperson,2023-10-07,
1008,CR1,K. Young,salesperson,2024-09-10,
1009,CR1,V. Diaz,service_advisor,2023-05-31,
1010,CR1,R. Gray,service_advisor,2023-11-18,2026-03-24
1011,CR1,B. Hale,service_advisor,2024-02-29,
1012,CR1,L. Lee,service_advisor,2023-03-19,
1013,CR1,R. Ivy,technician,2024-10-20,2026-04-07
1014,CR1,J. Ward,technician,2024-06-26,2026-07-27
1015,CR1,M. Fox,technician,2023-03-28,2026-06-17
1016,CR1,S. Jones,technician,2023-03-20,
1017,CR1,V. Gray,technician,2024-12-11,
1018,CR1,N. Fox,technician,2024-03-25,
1019,CR1,A. Ivy,technician,2025-01-15,
1020,CR1,T. Morales,fi_manager,2023-09-11,
1021,CR1,P. Okafor,fi_manager,2023-08-29,
1022,CR2,L. Lee,salesperson,2024-04-26,
1023,CR2,T. Okafor,salesperson,2023-11-30,
1024,CR2,P. Fox,salesperson,2023-09-01,
1025,CR2,M. Young,salesperson,2024-02-06,
1026,CR2,E. Hale,salesperson,2023-06-06,
1027,CR2,R. Fox,salesperson,2023-05-31,
1028,CR2,K. Silva,service_advisor,2024-11-04,
1029,CR2,A. Morales,service_advisor,2025-04-01,
1030,CR2,N. Ward,service_advisor,2023-06-02,
1031,CR2,L. Diaz,technician,2025-02-09,
1032,CR2,L. Ward,technician,2024-03-27,
1033,CR2,L. Cole,technician,2024-02-08,
1034,CR2,A. Reed,technician,2024-10-12,
1035,CR2,S. Okafor,technician,2024-06-10,
1036,CR2,S. Gray,fi_manager,2024-12-10,
1037,CR2,C. Cole,fi_manager,2023-04-23,
1038,CR3,B. Young,salesperson,2024-04-09,
1039,CR3,D. Cole,salesperson,2025-04-05,
1040,CR3,A. Nguyen,salesperson,2025-09-01,
1041,CR3,M. Nguyen,salesperson,2023-12-17,
1042,CR3,D. Okafor,salesperson,2023-12-06,2026-07-07
1043,CR3,E. Diaz,salesperson,2025-03-27,2026-07-26
1044,CR3,N. Fox,salesperson,2023-09-26,
1045,CR3,C. Hale,salesperson,2025-01-16,
1046,CR3,C. Jones,salesperson,2023-03-19,
1047,CR3,E. Nguyen,salesperson,2024-07-01,
1048,CR3,V. Lee,salesperson,2023-06-22,
1049,CR3,N. Reed,service_advisor,2024-03-31,
1050,CR3,S. Lee,service_advisor,2024-03-18,
1051,CR3,K. Patel,service_advisor,2025-05-16,
1052,CR3,B. Morales,service_advisor,2023-05-02,
1053,CR3,J. Patel,service_advisor,2025-08-06,
1054,CR3,J. Reed,technician,2024-05-29,
1055,CR3,B. Fox,technician,2024-05-12,
1056,CR3,S. Brooks,technician,2025-03-28,
1057,CR3,D. Cole,technician,2023-12-03,
1058,CR3,N. Hart,technician,2023-10-08,
1059,CR3,M. Bell,technician,2025-07-29,
1060,CR3,V. Brooks,technician,2025-07-17,
1061,CR3,V. Morales,technician,2024-05-27,
1062,CR3,P. Silva,technician,2024-04-24,
1063,CR3,V. Patel,fi_manager,2025-04-22,
1064,CR3,D. Gray,fi_manager,2025-04-13,2026-01-04
1065,CR4,K. Young,salesperson,2024-06-23,
1066,CR4,T. Nguyen,salesperson,2024-08-05,
1067,CR4,J. Brooks,salesperson,2024-12-06,
1068,CR4,S. Cole,salesperson,2024-11-11,
1069,CR4,J. Gray,salesperson,2024-04-26,
1070,CR4,M. Gray,salesperson,2023-06-09,
1071,CR4,B. Silva,salesperson,2025-01-08,2025-11-17
1072,CR4,V. Ward,salesperson,2023-11-10,
1073,CR4,M. Brooks,salesperson,2025-08-05,
1074,CR4,C. Diaz,service_advisor,2024-02-04,
1075,CR4,S. Hale,service_advisor,2025-01-23,2026-02-21
1076,CR4,M. Ivy,service_advisor,2023-08-15,
1077,CR4,E. Ivy,service_advisor,2024-12-01,
1078,CR4,C. Okafor,technician,2023-06-24,
1079,CR4,K. Brooks,technician,2025-05-16,
1080,CR4,S. Diaz,technician,2023-08-24,
1081,CR4,P. Okafor,technician,2024-04-01,
1082,CR4,N. Nguyen,technician,2024-11-07,
1083,CR4,C. Young,technician,2024-12-13,2026-04-29
1084,CR4,T. Young,technician,2024-07-04,
1085,CR4,A. Okafor,technician,2025-01-04,2025-12-02
1086,CR4,B. Hale,fi_manager,2024-01-20,
1087,CR4,T. Diaz,fi_manager,2024-10-14,
